_id,_type,slug,title,seo.title,seo.description
wp.article.1788,article,claude-code-joins-the-agentic-caucus,Claude Code Joins the Agentic Caucus,Claude Code Joins the Agentic Caucus | Sugartown Digital,(And Teaches This Old PM New Tricks) Let’s talk about something embarrassing: I’m a Senior Product Manager in 2026 who hasn’t touched version
wp.article.1437,article,core-web-vitals-dont-belong-to-frontend,Core Web Vitals Don’t Belong to Frontend (and Other Comfortable Lies),Core Web Vitals Don’t Belong to Frontend (and Other Comforta,"Core Web Vitals1 are not a frontend problem, a CMS problem, or a performance team problem. They’re an ecosystem outcome. If your system is fractured, your CWV w"
wp.article.1025,article,dashboards-arent-dead-neither-are-design-systems,Dashboards Aren’t Dead. Neither Are Design Systems. We Just Stopped Explaining Them Slowly Enough.,Dashboards Aren’t Dead. Neither Are Design Systems. We Just,"Every so often, a think piece drifts through the timeline announcing the ceremonial funeral of dashboards, design systems, or whatever else we all supposedly “d"
wp.article.736,article,lessons-from-replacing-oracle-atg-bcc-with-a-headless-cms,Lessons from Replacing Oracle ATG/BCC with a Headless CMS,Lessons from Replacing Oracle ATG/BCC with a Headless CMS |,"Context: Why Change Was Needed At the premium beauty retailer I was contracted with, the legacy stack relied heavily on Oracle ATG Web Commerce (ATG) and Oracle"
drafts.wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c"
wp.article.410,article,why-cms-and-design-systems-belong-together,"Oh, oh… Atomic: CMS and Design Systems 4evar","Oh, oh… Atomic: CMS and Design Systems 4evar | Sugarto","Overview There are really two worlds here: one for content strategy and editorial teams, the other for UX and engineering. Content teams talk about the atomic c"
article-placeholder,article,placeholder,Placeholder,,
d3272c3a-a52e-4213-8300-07ed5c7f5fb9,article,placeholder2,Placeholder II,,
wp.article.1804,article,the-great-icloud-divorce,The Great iCloud Divorce: A Tale of Two AIs and One Very Angry Mac,The Great iCloud Divorce: A Tale of Two AIs and One Very Ang,Or: How I Learned to Stop Worrying and Love sudo killall fileproviderd TL;DR: Breaking up with iCloud is like trying to leave a cult. Except the cult has kernel
2eca5d8c-f7c2-4bd4-aacc-9c02da078686,article,i-cant-do-that-yes-i-can-epic-v7c-post-mortem,“I Can’t Do That” (Yes I Can): Post-Mortem of Epic v7c,"“I Can’t Do That” (Yes I Can): Design System Drift, Adapters, and AI Limits","A post-mortem of Epic v7c: migrating legacy WordPress components into a design system, discovering a hidden adapter drift gap, and learning why you should always question “I can’t do that” from your AI tools."
drafts.wp.article.814,article,luxury-dot-com,💎 LUXURY DOT COM 💎,💎 LUXURY DOT COM 💎 | Sugartown Digital,Where Tech Debt Really Comes From Tech debt isn’t messy work. It’s the receipt for every compromise made under pressure: the integration that “we’ll refactor la
wp.article.814,article,luxury-dot-com,💎 LUXURY DOT COM 💎,💎 LUXURY DOT COM 💎 | Sugartown Digital,Where Tech Debt Really Comes From Tech debt isn’t messy work. It’s the receipt for every compromise made under pressure: the integration that “we’ll refactor la
wp.caseStudy.280,caseStudy,bare-minerals-from-bottlenecks-to-brilliance,Bare Minerals: From Bottlenecks to Brilliance,Bare Minerals: From Bottlenecks to Brilliance | Sugartown Di,40% productivity boost during an e-commerce redesign Bare Minerals (Bare Escentuals) was in the midst of a major redesign of its industry-leading DemandWare e-c
wp.caseStudy.166,caseStudy,beauty-retail-from-monolith-to-microservice,Beauty Retail: From Monolith to Microservice,Beauty Retail: From Monolith to Microservice | Sugartown Dig,"Content Architecture That’s More Than Skin-Deep Overview Guided a premium beauty retailer’s leap from a legacy Oracle ATG/BCC monolith to a modern, microservice"
wp.caseStudy.286,caseStudy,beringer-com-raising-a-glass-to-a-digital-refresh,Beringer.com: Raising a Glass to a Digital Refresh,Beringer.com: Raising a Glass to a Digital Refresh | Sugarto,"Modernizing Beringer.com while future-proofing for a backend transformation Beringer.com, the flagship Napa Valley brand of Treasury Wine Estates, needed a visu"
wp.caseStudy.274,caseStudy,charting-a-new-course-for-backroads-com,Charting a New Course for Backroads.com,Charting a New Course for Backroads.com | Sugartown Digital,"From tangled workflows to a streamlined content ecosystem Backroads, a leader in active travel experiences, set out to replatform its website — but discovery re"
wp.caseStudy.271,caseStudy,fx-networks-website-redesign-nominated-for-webby,FX Networks Website Redesign: Nominated for Webby!,FX Networks Website Redesign: Nominated for Webby! | Sugarto,"FX Networks partnered with creative agency Elephant.is to reimagine its flagship website, delivering a high-impact, editorially inspired experience that could f"
wp.caseStudy.294,caseStudy,launching-lunar-landing,Launching Lunar Landing,Launching Lunar Landing | Sugartown Digital,"2011 innovation that foreshadowed my product management career. Long before I held formal product management titles, I was already obsessed with solving operati"
drafts.wp.caseStudy.388,caseStudy,prestige-beauty-pilot-headless-cms-enterprise-design-system,Prestige Beauty Pilot — Headless CMS + Enterprise Design System,Prestige Beauty Pilot — Headless CMS + Enterprise Design Sys,"Overview From 2023 to 2025, a prestige beauty brand pilot proved a Composable Content & Design Ecosystem could unify headless CMS and design systems at ente"
wp.caseStudy.388,caseStudy,prestige-beauty-pilot-headless-cms-enterprise-design-system,Prestige Beauty Pilot — Headless CMS + Enterprise Design System,Prestige Beauty Pilot — Headless CMS + Enterprise Design Sys,"Overview From 2023 to 2025, a prestige beauty brand pilot proved a Composable Content & Design Ecosystem could unify headless CMS and design systems at ente"
974d196b-c6d4-4dcf-88bd-fb92bbc0b1a8,caseStudy,test-cs,Test Case Study,,
wp.node.1654,node,ai-illustration-review-ethics-accessibility-ip-guardrails,"AI Illustration Review: Ethics, Accessibility & IP Guardrails","AI Illustration Review: Ethics, Accessibility & IP Guar","This documents a formal, multi-dimensional review of AI-generated illustrative thumbnails used on Sugartown.io. The objective is operational clarity — not aesth"
wp.node.1028,node,architecture-decision-the-two-repo-solution-theme-vs-content,Architecture Decision: The Two-Repo Solution (Theme vs. Content),Architecture Decision: The Two-Repo Solution (Theme vs. Cont,I hit a wall today where my local Git commits weren’t showing up in my repository. The root cause? I was trying to treat my Theme (Visuals) and my Content
wp.node.949,node,architecture-decision-the-overwrite-risk-in-sugartown-cms,Architecture Decision: The “Overwrite” Risk in Sugartown CMS,Architecture Decision: The “Overwrite” Risk in S,I had a realization today while trying to manually edit a post in WordPress: The Pipeline is a Bully. In a typical “Push” architecture (Python -> Wo
wp.node.1395,node,architecture-deep-dive-resume-factory-v3-0,Architecture Deep Dive: Resume Factory v3.0,Architecture Deep Dive: Resume Factory v3.0 | Sugartown Digi,"Or, The Great Sanity Migration tl;dr: We spent two weeks building a Python resume pipeline. It worked. Then we immediately decided to throw it away and rebuild"
wp.node.1094,node,architecture-insight-the-sugartown-2-0-system-contract,Architecture Insight: The Sugartown 2.0 System Contract,Architecture Insight: The Sugartown 2.0 System Contract,Sugartown 2.0 establishes a non-negotiable architecture: Python is the single source of truth; WordPress is a stateless rendering layer. This eliminates CMS dri
wp.node.1121,node,architecture-update-the-resume-factory-v2-0,Architecture Update: The Resume Factory v2.0,Architecture Update: The Resume Factory v2.0 | Sugartown Dig,"Update: The pipeline described below is live. View the generated Resume here. In the last 48 hours, we fundamentally replatformed the “Resume Engine.&#822"
wp.node.1023,node,architecture-the-sugartown-digital-ecosystem-v1-0,Architecture: The Sugartown Digital Ecosystem (v1.0),Architecture: The Sugartown Digital Ecosystem (v1.0),Executive Summary This ecosystem represents the “Digital Factory” for Sugartown.io. It creates a strict separation of concerns between Content (The
wp.node.1029,node,architecture-the-unified-taxonomy-strategy,Architecture: The Unified Taxonomy Strategy,Architecture: The Unified Taxonomy Strategy | Sugartown Digi,"A headless CMS is useless if you can’t find anything inside it. Today, we implemented the Unified Taxonomy Strategy for Sugartown.io, ensuring that our co"
wp.node.1702,node,claude-vs-devtools-a-cautionary-tale-of-assumed-striping,Claude vs. DevTools: A Cautionary Tale of Assumed Striping,Claude vs. DevTools: A Cautionary Tale of Assumed Striping |,"Or, How I Confidently Recommended a Class That Didn’t Exist tl;dr: Claude had full access to style.css. Claude saw alternating colored rows in a screensho"
wp.node.952,node,confession-i-dont-hate-blogs-i-just-hate-unstructured-data,"Confession: I Don’t Hate Blogs, I Just Hate Unstructured Data","Confession: I Don’t Hate Blogs, I Just Hate Unstructur",My AI architect recently pointed out a flaw in my new site strategy: “Why are you so down on blogs?” It’s a fair question. I’ve spent the last week
wp.node.1397,node,confession-i-dont-lack-memory-i-just-forgot-to-mention-projects,"Confession: I Don’t Lack Memory, I Just Forgot to Mention Projects","Confession: I Don’t Lack Memory, I Just Forgot to Ment","The Great Over-Documentation Incident of December 2025 Picture this: I, Claude, am working with my PM on a multi-month Knowledge Graph visualization project. Co"
wp.node.1335,node,design-ops-the-pre-design-system-surviving-the-css-chaos,Design Ops: The “Pre-Design System” (Surviving the CSS Chaos),Design Ops: The “Pre-Design System” (Surviving t,"Before you build a Design System, you usually build a mess. We call this the “Pre-Design System” Phase. For Sugartown.io, I didn’t start with"
wp.node.994,node,devops-building-the-undo-button-for-my-career,DevOps: Building the “Undo” Button for My Career,DevOps: Building the “Undo” Button for My Career,I realized this week that my “Resume as Code” project had a fatal flaw: It was dangerous. Because I manage my personal brand via a Python script tha
wp.node.853,node,engineering-the-perfect-resume-workflow,Engineering the Perfect Resume Workflow,Engineering the Perfect Resume Workflow | Sugartown Digital,"As a Product Manager, I couldn’t just “write” a resume. I had to architect a pipeline. After battling file formats and prompt hallucinations,"
wp.node.1054,node,feature-the-resume-factory-the-sugartown-pink-design-system,Feature: The Resume Factory & The “Sugartown Pink” Design System,Feature: The Resume Factory & The “Sugartown Pink,We have officially closed the loop on two major capabilities for the Sugartown ecosystem: a headless engine for my career history and a distinct visual identity
wp.node.1569,node,how-i-learned-to-stop-renaming-and-love-the-existing-classes,How I Learned to Stop Renaming and Love the Existing Classes,How I Learned to Stop Renaming and Love the Existing Classes,"PM asked for a simple CSS Grid update: “make the header use grid columns so eyebrow and badge share row 1, title row 2, subtitle row 3.” Screenshot"
wp.node.1552,node,knowledge-graph-roadmap,Knowledge Graph Roadmap,Knowledge Graph Roadmap | Sugartown Digital,"This roadmap describes the evolution of the Knowledge Graph subsystem within Sugartown, not the platform as a whole. The Sugartown Knowledge Graph is being buil"
wp.node.954,node,market-scan-top-ai-tools-for-data-architecture-diagrams,Market Scan: Top AI Tools for Data & Architecture Diagrams,Market Scan: Top AI Tools for Data & Architecture Diagr,"We just finished architecting a Headless CMS pipeline, which naturally led to the next question: “How do we visualize this?” The “best”"
wp.node.852,node,market-scan-top-headless-cms-platforms-2025,Market Scan: Top Headless CMS Platforms (2025),Market Scan: Top Headless CMS Platforms (2025) | Sugartown D,"As we move into 2026, the Headless CMS market has calcified into three segments: Developer Tools, Marketer Suites, and Visual Composers. Here is the breakdown."
wp.node.977,node,meta-analysis-am-i-crazy-for-building-this,Meta-Analysis: Am I Crazy for Building This?,Meta-Analysis: Am I Crazy for Building This? | Sugartown Dig,"I just spent my Thanksgiving break architecting a Python-based ETL pipeline to inject structured data into a WordPress Block Theme, solely to update my resume."
wp.node.1079,node,prd-visualization-engine,PRD: The Visualization Engine (Phase 2),PRD: The Visualization Engine (Phase 2) | Sugartown Digital,Executive Summary Phase 1 established the “Content Engine” (Text). Phase 2 establishes the “Visualization Engine” (Images). We are build
wp.node.942,node,process-insight-the-csv-reality-check,Process Insight: The CSV Reality Check,Process Insight: The CSV Reality Check | Sugartown Digital,"I just ran my first full audit of the Sugartown CMS pipeline, exporting the raw database to a CSV report. The result? A lesson in data integrity. The “Eye"
wp.node.1451,node,process-insight-when-to-fire-your-ai,Process Insight: When to Fire Your AI (and Start From Scratch),Process Insight: When to Fire Your AI (and Start From Scratc,We recently attempted to introduce a centralized taxonomy system to enable better search and sorting by Project and Category. The requirement was simple: &#8220
wp.node.1570,node,project-knowledge-graph-topology-over-chronology,Project: Knowledge Graph — Topology Over Chronology,Project: Knowledge Graph — Topology Over Chronology | Sugart,"The Knowledge Graph is what happens when you ask an AI to write a blog post and it declares, instead, that blogs are blobs and you need a headless CMS with sema"
wp.node.946,node,project-sugartown-cms-architecture,Project: Sugartown CMS Architecture,Project: Sugartown CMS Architecture,"This project began with a simple request: “Write a blog post about Gemini 3.” It escalated into a full-stack systems exercise because, as a Product"
wp.node.1653,node,release-assistant-governance-inputs-outputs-no-vibes,"Release Assistant Governance: Inputs, Outputs, No Vibes","Release Assistant Governance: Inputs, Outputs, No Vibes | Su","What this is This node documents the governance version of the Sugartown Release Assistant: a deterministic, three-step pipeline that produces the same release"
drafts.456120f8-5fc9-4135-9eaa-c49891fe4de1,node,release-governance-storybook-smoke-check-design-system,Release Governance: Storybook Smoke Check for Design System Changes,Release Governance: Storybook Smoke Check for Design System Changes,"Operational rule and checklist for running Storybook builds and validation scripts before releasing changes to the design system, preventing visual and API drift between Storybook and production."
wp.node.953,node,release-governance-yyyy-mm-dd-workflow,Release Governance: YYYY.MM.DD Workflow,Release Governance: YYYY.MM.DD Workflow | Sugartown Digital,"This Gem defines the canonical Sugartown release workflow. Releases are documentation-first, Python-canonical, and reproducible; WordPress reflects releases but"
wp.node.993,node,status-update-the-great-re-platforming,Status Update: The Great Re-Platforming,Status Update: The Great Re-Platforming | Sugartown Digital,Executive Summary The stakeholder (Me) has been forcibly decoupled from the legacy backend (The Beauty Retailer). While the “Job Security” microserv
wp.node.1733,node,sugartown-platform-roadmap-updated,Sugartown Platform Roadmap (updated),Sugartown Platform Roadmap (updated),"Sugartown is a content-as-code platform that treats ideas, artifacts, and career data as structured systems—authored in code, published automatically, and visua"
wp.node.863,node,sweet-upgrades-why-gemini-3-is-the-cherry-on-top,Sweet Upgrades: Why Gemini 3 is the Cherry on Top,Sweet Upgrades: Why Gemini 3 is the Cherry on Top | Sugartow,"We’ve all been there—living comfortably in our standard Google Accounts. But with the release of Gemini 3 Pro this week, the question isn’t just “Do I need an A"
wp.node.1447,node,changelog,System Changelog,System Changelog | Sugartown Digital,Sugartown Release Notes v2026.01.03 — Responsive Tables Stabilization Fixed mobile table card layout so rows no longer overflow or clip off-screen. Added consis
wp.node.1568,node,the-great-versioning-reconciliation,The Great Versioning Reconciliation,The Great Versioning Reconciliation | Sugartown Digital,"Or, How We Discovered Seven Version Systems The Discovery PM: Okay, so we agreed on calendar-based releases. vYYYY.MM.DD. Clean, simple, one version per day. Cl"
wp.node.1514,node,the-release-that-ate-the-card-system,The Release That Ate the Card System,The Release That Ate the Card System | Sugartown Digital,"Summary This release started as a visual cleanup and ended as a full system alignment: cards, tokens, changelogs, governance—and a hard-earned reminder that Wor"
wp.node.1551,node,this-knowledge-graph-origin-story,This Knowledge Graph Origin Story,This Knowledge Graph Origin Story | Sugartown Digital,"Or, The “Scope Creep” This section exists because I made the mistake of asking Gemini for a simple favor. The conversation went something like this: Me: “Can yo"
wp.node.1796,node,two-weeks-inside-the-machine,Two Weeks Inside the Machine,Two Weeks Inside the Machine | Sugartown Digital,"Over the last two weeks, I’ve been laying the groundwork for a new ecosystem: Standing up Sanity as the content backbone Standing up a React frontend as the ren"
wp.node.950,node,visualizing-the-knowledge-graph,Visualizing the Knowledge Graph,Visualizing the Knowledge Graph | Sugartown Digital,"A Knowledge Graph isn’t just a metaphor; it’s a data structure. To visualize the relationships between my Projects, Categories, and Gems, I used Pyt"
wp.node.1815,node,we-fixed-the-same-white-screen,We Fixed the Same White Screen Three Times (And Then Built a Prompt to Prevent It),We Fixed the Same White Screen Three Times (And Then Built a,There’s a particular kind of embarrassment that comes from realising you’ve solved the same problem three times in ten days. It deepens considerably
wp.node.1646,node,which-chatbot-is-best-for-web-design,Which Chatbot Is Best for Web Design?,Which Chatbot Is Best for Web Design? | Sugartown Digital,"(A PM Discovers the Real Problem. “Reader, it’s me.”) Summary: In which I ask the internet which chatbot is “best at web design,” gently roast"
a7a11a1c-7f1f-44cc-8021-a2ee89180dbb,node,test-slug,test node,Test Node,
wp.page.1644,page,ai-ethics,AI Ethics &#038; Operations,,
b44f2b69-6371-4e39-b0e1-aa6c84a53b84,page,about,About,,
drafts.b44f2b69-6371-4e39-b0e1-aa6c84a53b84,page,about,About,This is a custom Meta Title | Sugartown.io,Lorem Ipsum
wp.page.482,page,about,About Me,,
wp.page.957,page,welcome-to-sugartown-io,Atoms &amp; Ecosystems,,
wp.page.1034,page,blog2,Blog,,
drafts.wp.page.207,page,cv-resume,CV / Resume,,
wp.page.207,page,cv-resume,CV / Resume,,
wp.page.218,page,contact,Contact,,
wp.page.855,page,knowledge-graph-intro,Knowledge Graph,,
wp.page.210,page,privacy-and-terms,Privacy &#038; Terms of Use,,
